Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
PROJECTS ADMINISTRATOR,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$93,384.00 ",
AVIATION SECURITY OFFICER,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,"$106,212.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,$48.73 
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
CONSTRUCTION LABORER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,$51.40 
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$105,936.00 ",
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$111,486.00 ",
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$98,904.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$111,804.00 ",
LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,$51.40 
ADMINISTRATIVE ASSISTANT,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,"$50,424.00 ",
SUPVSR OF AUDITING,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,"$115,992.00 ",
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,$48.73 
CIVIL ENGINEER III,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,"$90,228.00 ",
INFORMATION ANALYST (IGO),OFFICE OF INSPECTOR GENERAL,F,SALARY,,"$72,996.00 ",
BATTALION CHIEF - EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$165,858.00 ",
FOSTER GRANDPARENT,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,P,HOURLY,20,,$4.73 
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$98,904.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$115,686.00 ",
SANITATION CLERK,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,"$66,240.00 ",
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,"$72,348.00 ",
CIVIL ENGINEER IV,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,"$137,436.00 ",
PUBLIC HEALTH ADMINISTRATOR I,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$105,408.00 ",
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,"$140,574.00 ",
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,$48.73 
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$123,444.00 ",
WATCHMAN,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,$27.45 
AIRPORT INFORMATION AMBASSADOR,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,"$54,492.00 ",
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$142,962.00 ",
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,$48.73 
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,"$57,636.00 ",
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,F,SALARY,,"$86,808.00 ",
BUILDING/CONSTRUCTION INSPECTOR,DEPARTMENT OF BUILDINGS,F,SALARY,,"$152,712.00 ",
SENIOR COMPANION,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,P,HOURLY,20,,$4.73 
PSYCHIATRIC NURSE PRACTIONER,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$140,496.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$115,686.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$119,976.00 ",
ASST PRESS SECRETARY,OFFICE OF THE MAYOR,F,SALARY,,"$97,536.00 ",
ENVIRONMENTAL ENGINEER III,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$137,436.00 ",
IT SECURITY SPECIALIST,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,"$111,000.00 ",
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY,P,HOURLY,20,,$18.60 
CONSTRUCTION LABORER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,$51.40 
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,F,SALARY,,"$108,084.00 ",
RECRUITING COORDINATOR,DEPARTMENT OF HUMAN RESOURCES,F,SALARY,,"$77,856.00 ",
PUBLIC HEALTH ADMINISTRATOR I,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$105,408.00 ",
MACHINIST (AUTOMOTIVE),DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,$60.39 
PROJECT STRATEGY MANAGER - CPD,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$93,156.00 ",
PROJECTS ADMINISTRATOR,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$107,340.00 ",
PSYCHIATRIC NURSE PRACTIONER,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$140,496.00 ",
PRESS AIDE I,OFFICE OF THE MAYOR,F,SALARY,,"$76,824.00 ",
BRICKLAYER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,$53.06 
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,"$95,592.00 ",
CARPENTER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,$56.71 
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$138,510.00 ",
PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$62,466.00 ",
SENIOR ADMINISTRATIVE ASSISTANT,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,F,SALARY,,"$105,408.00 ",
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,"$62,466.00 ",
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$122,274.00 ",
ASST CHIEF AIRPORT OPERATIONS SUPVSR,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,"$152,712.00 ",
PARAMEDIC I/C,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$101,052.00 ",
PAINTER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,$54.30 
COMPUTER APPL ANALYST II-ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,"$89,640.00 ",
CONTRACTS REVIEW SPECIALIST II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$68,688.00 ",
STAFF ASST,DEPARTMENT OF LAW,F,SALARY,,"$72,012.00 ",
GENERAL LABORER - DSS,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,$26.28 
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$119,976.00 ",
FOREMAN OF MOTOR TRUCK DRIVERS,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,$52.38 
FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$122,274.00 ",
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$125,994.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
BRIDGE OPERATOR,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,"$87,480.00 ",
INQUIRY AIDE III,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$47,436.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$119,976.00 ",
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,$47.79 
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,$47.79 
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$111,804.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$111,804.00 ",
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$110,766.00 ",
LINEMAN,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,$64.58 
CUSTODIAL WORKER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,$19.50 
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$114,654.00 ",
CONSTRUCTION LABORER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,$51.40 
CHIEF VOUCHER EXPEDITER,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,SALARY,,"$82,716.00 ",
STATION LABORER,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,"$55,805.28 ",
CUSTODIAL WORKER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,$20.00 
